TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2021-07-23 17:05:41.962,0.038786475,-0.2207111,0.25436285,0.3751001,0.4205861,0.018427469,-0.3118842,0.23122862,0.70107704,0.3672516,0.4047737,-0.10188278,0.8705739,0.83601207,0.80325735,1.0089775,0.72770846,0.5353804,0.5995806,0.73911136,850.58606,794.17584,779.2674,799.81683,819.5604,0.148681640625,0.122314453125,0.9736328125,3.147735595703125,-2.51220703125,2.87109375,1,1.0,1.0,1.0,1.0,70.00
2021-07-23 17:05:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-07-23 17:05:42.973,0.0020944036,-0.13316183,-0.07283007,0.3751001,0.45568344,-0.16937101,-0.042879194,0.23122862,0.70107704,0.24946627,0.6548796,-0.10188278,0.88171214,0.7760513,0.90165997,1.0089775,0.71315587,0.29030314,0.63509566,0.73911136,767.98535,807.47253,820.7692,823.5897,748.24176,0.1610107421875,0.121337890625,0.97723388671875,3.087921142578125,-2.295379638671875,1.757049560546875,1,1.0,1.0,1.0,1.0,70.00
2021-07-23 17:05:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-07-23 17:05:43.996,0.0020944036,-0.10400683,0.114069186,0.3751001,0.45568344,-0.28652185,0.11765192,0.23122862,0.70107704,0.7591448,0.6577914,-0.10188278,0.88171214,0.8218291,0.8887415,1.0089775,0.71315587,0.56738055,0.6464903,0.73911136,858.6447,810.293,801.02563,810.293,889.67035,0.16387939453125,0.118408203125,0.9822998046875,2.609405517578125,-3.94775390625,2.07855224609375,1,2.0,1.0,1.0,2.0,70.00
2021-07-23 17:05:45.000,0.0020944036,0.4663971,0.34392762,0.3751001,0.45568344,0.31089967,0.05922523,0.23122862,0.70107704,0.8257735,0.45332307,-0.10188278,0.88171214,0.76086974,0.85360545,1.0089775,0.71315587,0.6294825,0.65523916,0.73911136,639.45056,790.14655,795.78754,615.6777,789.7436,0.16357421875,0.1241455078125,0.98333740234375,3.222503662109375,-2.3028564453125,2.280426025390625,1,2.0,1.0,1.0,2.0,70.00
2021-07-23 17:05:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-07-23 17:05:46.030,0.0020944036,0.5392949,0.6213573,0.3751001,0.45568344,0.2649564,0.22072846,0.23122862,0.70107704,0.6098214,0.5819611,-0.10188278,0.88171214,0.7360579,0.77594113,1.0089775,0.71315587,0.6068895,0.7128652,0.73911136,860.2564,803.8461,810.696,794.9817,795.38464,0.16986083984375,0.12213134765625,0.98187255859375,2.82623291015625,-2.519683837890625,2.13836669921875,1,2.0,1.0,1.0,2.0,70.00
2021-07-23 17:05:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-07-23 17:05:47.052,0.0020944036,0.50473434,0.64589614,0.3751001,0.45568344,0.20041986,0.34655553,0.23122862,0.70107704,0.7382577,0.64967966,-0.10188278,0.88171214,0.85452217,0.5978519,1.0089775,0.71315587,0.65728563,0.6007143,0.73911136,733.3333,801.4286,811.0989,811.50183,731.31866,0.1744384765625,0.11956787109375,0.9842529296875,2.97576904296875,-3.0804443359375,2.4224853515625,1,2.0,1.0,1.0,2.0,70.00
2021-07-23 17:05:48.060,0.0020944036,0.019601157,0.44266325,0.3751001,0.45568344,-0.089099444,0.13221963,0.23122862,0.70107704,0.4502164,0.38188794,-0.10188278,0.88171214,0.8372613,0.80966014,1.0089775,0.71315587,0.5709755,0.6481394,0.73911136,842.1245,804.65204,816.7399,788.5348,795.38464,0.16949462890625,0.12103271484375,0.98040771484375,3.386993408203125,-2.998199462890625,2.64678955078125,1,2.0,1.0,1.0,2.0,70.00
2021-07-23 17:05:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-07-23 17:05:49.090,0.6976932,0.13102019,0.5794515,0.64288,0.7791962,0.0057083466,0.15721226,0.6167316,0.8618843,0.58713293,0.48270535,0.8409938,0.96830344,0.58898485,0.80699337,0.8478289,0.6519827,0.54067004,0.6793176,0.5671033,738.97437,775.2381,807.0696,797.8022,815.5311,0.16632080078125,0.1278076171875,0.9747314453125,3.013153076171875,-3.985137939453125,2.1832275390625,1,1.0,1.0,1.0,1.0,75.00
2021-07-23 17:05:50.111,0.76069015,0.10373194,0.7497248,0.78350973,0.87033355,0.15164734,0.2813919,0.583892,0.7967008,0.67652637,0.5761602,0.6332739,1.0245963,0.687378,0.7608782,0.97815424,0.6438331,0.5506663,0.6037384,0.66649157,884.43225,830.84247,805.4579,824.3956,788.5348,0.16552734375,0.12994384765625,0.97039794921875,2.52716064453125,-1.734619140625,2.340240478515625,1,1.0,1.0,1.0,1.0,75.00
2021-07-23 17:05:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-07-23 17:05:51.129,0.39687675,0.023393082,1.0031677,0.57714975,0.42867514,0.14752835,0.5981622,0.52216846,0.8214747,0.39671403,0.640442,0.625036,0.85550565,0.76524174,0.8214605,0.77314264,0.5955269,0.5131477,0.6875175,0.7280079,737.76556,826.8132,817.5458,819.5604,877.1795,0.18603515625,0.11285400390625,0.98883056640625,2.67669677734375,-2.938385009765625,0.7177734375,1,1.0,1.0,1.0,1.0,75.00
2021-07-23 17:05:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-07-23 17:05:52.149,0.39687675,0.13477741,0.77099645,0.57714975,0.42867514,0.11624444,0.4420468,0.52216846,0.8214747,0.47513902,0.43918478,0.625036,0.85550565,0.723562,0.76539624,0.77314264,0.5955269,0.44357458,0.5921121,0.7280079,876.3736,818.7546,836.08057,811.9048,706.7399,0.18231201171875,0.1348876953125,0.98370361328125,3.117828369140625,-2.953338623046875,1.891632080078125,1,1.0,1.0,1.0,1.0,75.00
2021-07-23 17:05:53.155,0.39687675,0.4315324,0.30206123,0.57714975,0.42867514,0.0337844,0.33016008,0.52216846,0.8214747,0.31537747,0.14283364,0.625036,0.85550565,0.8017577,0.7114844,0.77314264,0.5955269,0.6618503,0.6671909,0.7280079,842.1245,796.99634,829.2308,868.315,843.73627,0.18548583984375,0.1077880859375,0.98175048828125,2.5421142578125,-1.592559814453125,3.790740966796875,1,2.0,1.0,1.0,2.0,75.00
2021-07-23 17:05:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-07-23 17:05:54.177,0.39687675,0.43739504,0.3394962,0.57714975,0.42867514,-0.0797735,-0.18275131,0.52216846,0.8214747,0.43289664,0.61515284,0.625036,0.85550565,0.6482308,0.9073803,0.77314264,0.5955269,0.5468985,0.44716093,0.7280079,858.6447,797.3993,811.9048,811.9048,835.2747,0.16131591796875,0.140380859375,0.9698486328125,4.306640625,-2.100982666015625,2.332763671875,1,2.0,1.0,1.0,2.0,75.00
2021-07-23 17:05:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-07-23 17:05:55.196,0.39687675,0.39947295,0.52391905,0.57714975,0.42867514,0.20039144,0.46528348,0.52216846,0.8214747,0.43565923,0.70744735,0.625036,0.85550565,0.6046476,0.80073166,0.77314264,0.5955269,0.53748053,0.5243593,0.7280079,705.12823,794.17584,825.2015,812.3077,894.10254,0.17578125,0.136474609375,0.96820068359375,-0.059814453125,-2.0037841796875,-1.016845703125,1,2.0,1.0,1.0,2.0,75.00
2021-07-23 17:05:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-07-23 17:05:56.229,0.39687675,0.35915717,0.5566298,0.57714975,0.42867514,0.23607296,0.5127787,0.52216846,0.8214747,0.36114115,0.6758455,0.625036,0.85550565,0.6832529,0.84865206,0.77314264,0.5955269,0.52990377,0.6203992,0.7280079,858.6447,807.0696,819.5604,815.9341,776.04395,0.1669921875,0.11639404296875,0.97723388671875,1.158905029296875,-2.40753173828125,-1.054229736328125,1,2.0,1.0,1.0,2.0,75.00
2021-07-23 17:05:57.230,0.39687675,-0.2925638,0.17061841,0.57714975,0.42867514,-0.25070012,0.2417576,0.52216846,0.8214747,0.31111887,0.67095715,0.625036,0.85550565,0.7419997,0.7426111,0.77314264,0.5955269,0.49837297,0.5248254,0.7280079,864.2857,834.0659,821.978,862.27106,762.3443,0.16845703125,0.12652587890625,0.98004150390625,2.7813720703125,-3.282318115234375,2.833709716796875,1,2.0,1.0,1.0,2.0,75.00
2021-07-23 17:05:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-07-23 17:05:58.236,0.39687675,-0.24566284,0.07886021,0.57714975,0.42867514,0.17071742,-0.16646186,0.52216846,0.8214747,0.4217468,0.48110032,0.625036,0.85550565,0.6800528,0.76170427,0.77314264,0.5955269,0.5560369,0.4336666,0.7280079,881.6117,817.5458,836.08057,834.0659,803.44324,0.159912109375,0.1236572265625,0.97589111328125,3.028106689453125,-3.4393310546875,2.340240478515625,1,2.0,1.0,1.0,2.0,75.00
2021-07-23 17:05:59.257,0.48245922,0.03467959,0.19049409,0.34961298,1.0599172,-0.2889187,0.04187869,0.6017469,1.3168406,0.606139,0.32909077,0.9071455,1.1004779,0.7444389,0.66467243,0.8874966,0.831597,0.3925486,0.52029836,0.64514923,864.2857,815.9341,826.4103,800.6227,859.45056,0.1668701171875,0.12310791015625,0.97540283203125,2.938385009765625,-2.99072265625,2.16827392578125,1,1.0,1.0,1.0,1.0,75.00
2021-07-23 17:05:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-07-23 17:06:00.270,0.45315844,0.25520003,0.3496665,0.33258334,0.8238439,-0.28505367,0.2855635,0.4430846,1.1927843,0.5508624,0.64880466,0.9020019,1.0654298,0.7473621,0.70431393,0.8646807,0.926506,0.45935798,0.7817382,0.7107779,722.4542,811.0989,795.38464,750.65936,841.31866,0.1121826171875,0.10797119140625,0.9996337890625,3.715972900390625,-0.538330078125,-1.577606201171875,1,1.0,1.0,1.0,1.0,75.00
2021-07-23 17:06:01.291,1.1354403,0.40572292,0.6031478,0.37998706,0.7661811,-0.07496141,0.2920426,0.3532108,0.8009387,0.5589714,0.87934625,0.8881261,1.0334715,0.74079186,0.8148422,0.8489829,0.7079922,0.5971735,0.82466614,0.71933645,877.98535,803.8461,803.8461,811.50183,845.7509,0.1429443359375,0.0198974609375,0.9796142578125,-1.009368896484375,-2.265472412109375,-1.308441162109375,1,1.0,1.0,1.0,1.0,75.00
2021-07-23 17:06:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-07-23 17:06:02.296,1.1667203,0.1056811,0.26420954,0.8876208,0.78588265,-0.09200918,0.24337171,0.6790251,0.8228511,0.49199,0.7127578,1.0235693,1.0036122,0.5670373,0.78661,0.88458496,0.61348075,0.5376182,0.54844517,0.8369247,843.3333,808.68134,805.4579,809.4872,824.3956,0.12548828125,-7.9345703125E-4,0.95733642578125,-0.0897216796875,-1.009368896484375,-2.504730224609375,1,1.0,1.0,1.0,1.0,75.00
2021-07-23 17:06:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-07-23 17:06:03.302,1.1690218,0.22665682,0.23568341,0.8876208,0.82752484,0.058266934,0.3280213,0.6790251,0.74197304,0.59086263,0.5933763,1.0235693,0.98681045,0.7061774,0.8897014,0.88458496,0.5737035,0.57616806,0.70548296,0.8369247,861.06226,811.9048,827.619,810.293,811.50183,0.0911865234375,-0.04681396484375,0.98406982421875,-0.560760498046875,-2.37762451171875,2.82623291015625,1,1.0,1.0,1.0,1.0,75.00
2021-07-23 17:06:04.333,1.1690218,0.61506414,0.39747247,0.8876208,0.82752484,0.21013738,0.30491248,0.6790251,0.74197304,0.5528587,0.4784741,1.0235693,0.98681045,0.6535572,0.871461,0.88458496,0.5737035,0.4925658,0.6298887,0.8369247,823.5897,801.8315,813.91943,772.01465,817.9487,0.1552734375,-0.0047607421875,0.9786376953125,5.914154052734375,-3.887939453125,1.323394775390625,1,2.0,1.0,1.0,2.0,75.00
2021-07-23 17:06:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-07-23 17:06:05.336,1.1787615,0.8069474,0.7293917,0.54504067,0.23581508,0.34737173,0.2736126,0.8089329,0.912031,0.6716976,0.5477759,0.7854669,0.93440807,0.6405783,0.83621705,0.96504915,0.8566428,0.585907,0.23100233,0.81991065,877.98535,809.89014,803.0403,805.4579,763.95605,0.118408203125,0.0020751953125,0.97869873046875,7.43194580078125,-1.9140625,-1.727142333984375,1,1.0,1.0,1.0,1.0,75.00
2021-07-23 17:06:06.343,1.2052473,0.4152224,0.37920064,0.60153735,0.27094793,-0.12770174,0.13442788,0.42896804,0.8709411,0.32276046,0.42770436,0.51858914,0.94383895,0.6521341,0.7518712,0.86734957,0.8909611,0.58947814,0.36466572,0.4244919,743.4066,799.81683,802.23444,807.47253,884.43225,0.11175537109375,-0.01715087890625,0.955322265625,6.691741943359375,2.773895263671875,2.534637451171875,1,1.0,1.0,1.0,1.0,75.00
2021-07-23 17:06:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-07-23 17:06:07.357,1.2052473,0.065660484,0.3549826,0.5397797,0.27094793,-0.16215949,0.37564987,0.45946413,0.8709411,0.49352914,0.75047356,0.6452169,0.94383895,0.58558124,0.7007836,0.8533496,0.8909611,0.47600198,0.3859476,0.3821756,686.5934,798.60803,809.0842,791.75824,730.9158,0.1630859375,0.032470703125,0.980712890625,7.768402099609375,-5.93658447265625,7.19268798828125,1,1.0,1.0,1.0,1.0,75.00
2021-07-23 17:06:08.364,1.0597684,0.30513155,0.48854867,0.42429826,0.75361276,0.12135635,0.46767676,0.50890887,0.7320732,0.61274236,0.65446156,0.6398097,0.886962,0.606936,0.6444709,0.84145916,0.5554856,0.30688265,0.5450955,0.29423115,823.1868,804.2491,796.99634,779.67035,836.4835,0.147705078125,0.0743408203125,0.952392578125,2.03369140625,-1.1065673828125,2.489776611328125,1,1.0,1.0,1.0,1.0,75.00
2021-07-23 17:06:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-07-23 17:06:09.385,0.9724339,0.71962786,0.61252624,1.2370719,0.73505306,0.46392474,0.2927022,0.83709663,0.87054527,0.5709376,0.6025318,0.6129652,0.898848,0.72413933,0.7680384,0.559906,0.54474527,0.41251183,0.48599744,0.48128444,645.4945,821.5751,784.5055,668.0586,801.4286,0.15838623046875,0.09716796875,0.9810791015625,7.648773193359375,-2.893524169921875,-0.2691650390625,1,1.0,1.0,1.0,1.0,75.00
2021-07-23 17:06:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-07-23 17:06:10.400,0.8625248,0.8464729,0.8681646,1.1990943,0.75916123,0.5085374,0.54484475,0.85954386,0.87054527,0.5562807,0.80189574,0.6019803,0.889649,0.71689343,0.8113053,0.57132393,0.55277336,0.43919978,0.43292096,0.47651204,881.6117,800.2198,780.4762,810.293,788.1319,0.07763671875,0.0511474609375,0.99737548828125,0.478515625,4.329071044921875,-2.235565185546875,1,1.0,1.0,1.0,1.0,75.00
2021-07-23 17:06:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-07-23 17:06:11.413,0.8625248,0.89661306,0.63461846,1.1990943,0.75916123,0.06160336,0.37535104,0.85954386,0.87054527,0.39968982,0.4444628,0.6019803,0.889649,0.6334637,0.85743076,0.57132393,0.55277336,0.49873194,0.41735294,0.47651204,686.99634,788.1319,813.1135,801.8315,744.61536,0.08294677734375,0.13037109375,0.9833984375,2.55706787109375,-0.814971923828125,4.486083984375,1,2.0,1.0,1.0,2.0,75.00
2021-07-23 17:06:12.438,0.8625248,0.5852722,0.775428,1.1990943,0.75916123,0.7111367,0.46886155,0.85954386,0.87054527,0.92230856,0.32453135,0.6019803,0.889649,1.1294936,0.8260915,0.57132393,0.55277336,1.0039611,0.38221332,0.47651204,855.0183,802.23444,824.3956,865.09155,772.01465,0.089599609375,0.1220703125,0.97674560546875,2.52716064453125,-2.4822998046875,1.517791748046875,1,2.0,1.0,1.0,2.0,75.00
2021-07-23 17:06:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-07-23 17:06:13.443,0.8625248,0.5476828,0.96508723,1.1990943,0.75916123,0.41029838,0.83821595,0.85954386,0.87054527,0.9236713,0.8386442,0.6019803,0.889649,0.89759755,0.5677992,0.57132393,0.55277336,0.7534465,0.5467738,0.47651204,737.76556,813.91943,814.3223,812.71063,789.7436,0.088134765625,0.11517333984375,0.985595703125,3.00567626953125,-3.656158447265625,2.51220703125,1,2.0,1.0,1.0,2.0,75.00
2021-07-23 17:06:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-07-23 17:06:14.448,0.8625248,0.40719533,0.60151863,1.1990943,0.75916123,0.05750473,0.19098596,0.85954386,0.87054527,0.3720846,0.6257428,0.6019803,0.889649,0.70931983,0.6792167,0.57132393,0.55277336,0.4572678,0.6364842,0.47651204,866.7033,822.381,812.71063,813.5165,714.7985,0.089111328125,0.11761474609375,0.98468017578125,2.983245849609375,-2.10845947265625,2.938385009765625,1,2.0,1.0,1.0,2.0,75.00
2021-07-23 17:06:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-07-23 17:06:15.467,0.8625248,0.23726515,0.83772576,1.1990943,0.75916123,0.117774166,0.47885615,0.85954386,0.87054527,-0.08982819,0.8091038,0.6019803,0.889649,0.7153955,0.8846054,0.57132393,0.55277336,0.3941318,0.6046957,0.47651204,859.45056,813.5165,809.4872,795.78754,792.96704,0.09326171875,0.11639404296875,0.98968505859375,3.09539794921875,-2.64678955078125,2.51220703125,1,2.0,1.0,1.0,2.0,75.00
2021-07-23 17:06:16.482,0.8625248,0.2876025,0.58201796,1.1990943,0.75916123,0.22678496,0.4718227,0.85954386,0.87054527,0.760654,0.63919413,0.6019803,0.889649,0.74784505,0.9061625,0.57132393,0.55277336,0.47587124,0.56717086,0.47651204,799.41394,799.81683,803.44324,850.18317,793.7729,0.08642578125,0.11602783203125,0.985595703125,2.923431396484375,-3.282318115234375,2.489776611328125,1,2.0,1.0,1.0,2.0,75.00
2021-07-23 17:06:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-07-23 17:06:17.486,0.8625248,-0.44878748,0.48231155,1.1990943,0.75916123,-0.01028022,0.40213653,0.85954386,0.87054527,0.5084873,0.8908727,0.6019803,0.889649,0.8287324,0.67741865,0.57132393,0.55277336,0.5644185,0.52717495,0.47651204,846.1539,811.9048,818.3516,794.17584,736.55676,0.09344482421875,0.1087646484375,0.9869384765625,3.043060302734375,-2.773895263671875,2.213134765625,1,2.0,1.0,1.0,2.0,75.00
2021-07-23 17:06:18.488,0.68505883,0.016621491,0.68672436,0.8795178,0.66437685,0.16264635,0.59071696,0.6622227,0.885335,0.49366048,0.88417506,1.117343,1.0472227,0.7622013,0.72583896,1.0218871,0.61236703,0.4147541,0.54908395,0.38888496,724.0659,813.91943,815.9341,807.8755,939.6337,0.091796875,0.1181640625,0.99188232421875,2.579498291015625,-1.7047119140625,2.429962158203125,1,1.0,1.0,1.0,1.0,75.00
2021-07-23 17:06:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
